name,taxonomy,bin_length,gc_percent,coverage,curation_status,completion_status,metagenome_id,normalized_coverage,domain
SR-VP_05_06_2024_ck_bottom_metabat2_230,Archaea,1273743.0,38.92,11.21,Uncurated genome,near complete,ck_bottom,-0.04199806815196405,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_2198_sub,"Deltaproteobacteria, Proteobacteria, Bacteria",3590228.0,46.34,9.32,Uncurated genome,partial,ck_bottom,-0.22664167653853262,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_21570_sub,"Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria",2211570.0,64.0,7.46,Uncurated genome,partial,ck_bottom,-0.44924889102036314,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_21453_sub,"Rokubacteria, Bacteria",3826657.0,71.19,5.15,Uncurated genome,near complete,ck_bottom,-0.8198075905603879,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_2103_sub,Bacteria,5224365.0,56.38,43.01,Uncurated genome,near complete,ck_bottom,1.302628341559612,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_20937_sub,Archaea,1476427.0,50.02,54.49,Uncurated genome,partial,ck_bottom,1.5392128933589744,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_2070_sub,"Deltaproteobacteria, Proteobacteria, Bacteria",4796623.0,48.1,173.81,Uncurated genome,near complete,ck_bottom,2.699158443339356,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_20430_sub,"Thaumarchaeota, TACK, Archaea",1408954.0,35.71,8.77,Uncurated genome,partial,ck_bottom,-0.287467498851941,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_204,"Chlamydiales, Chlamydiia, Chlamydiae, Bacteria",1958710.0,46.7,15.78,Uncurated genome,near complete,ck_bottom,0.29993901018169566,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_199,"Gemmatimonadetes, Bacteria",3366000.0,68.31,20.3,Uncurated genome,near complete,ck_bottom,0.551816580811709,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_195,Bacteria,7368159.0,58.65,84.27,Uncurated genome,near complete,ck_bottom,1.9752216245482295,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_2279,"Deltaproteobacteria, Proteobacteria, Bacteria",3830320.0,52.35,10.73,Uncurated genome,near complete,ck_bottom,-0.08576074859342553,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_19280,Bacteria,2402944.0,51.34,4.86,Uncurated genome,near complete,ck_bottom,-0.8777658673236302,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_2890,"RIF-OD1-6, Parcubacteria, Bacteria",648518.0,36.57,9.07,Uncurated genome,near complete,ck_bottom,-0.2538320411089874,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_4994,"Parcubacteria, Bacteria",691669.0,53.68,6.07,Uncurated genome,near complete,ck_bottom,-0.6554457001646257,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_48886_sub,"Euryarchaeota, Archaea",1854741.0,66.49,5.94,Uncurated genome,partial,ck_bottom,-0.677095171861479,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_4755,Bacteria,6415809.0,66.96,6.82,Uncurated genome,near complete,ck_bottom,-0.5389448333806619,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_46950_sub,"Euryarchaeota, Archaea",2620545.0,43.65,4.77,Uncurated genome,partial,ck_bottom,-0.8964580003357829,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_4689,"Methanomicrobiales, Methanomicrobia, Euryarchaeota, Archaea",2325798.0,56.72,6.78,Uncurated genome,near complete,ck_bottom,-0.5448272032837285,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_46316_sub,"Parcubacteria, Bacteria",566316.0,48.05,4.32,Uncurated genome,partial,ck_bottom,-0.9955489029800138,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_46087_sub,Archaea,4450043.0,50.6,10.01,Uncurated genome,megabin,ck_bottom,-0.1552197119089036,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_4252_sub,"Nitrospirae, Bacteria",3365723.0,51.5,11.35,Uncurated genome,partial,ck_bottom,-0.02958656130862103,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_418_sub,"Chlamydiia, Chlamydiae, Bacteria",2578230.0,45.96,5.36,Uncurated genome,near complete,ck_bottom,-0.7798403301533219,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_4168_sub,Bacteria,5450593.0,55.79,6.94,Uncurated genome,partial,ck_bottom,-0.5215025307173196,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_4041,Bacteria,5224229.0,59.7,8.44,Uncurated genome,near complete,ck_bottom,-0.325821996628167,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_2997,"Betaproteobacteria, Proteobacteria, Bacteria",4911245.0,62.16,7.87,Uncurated genome,partial,ck_bottom,-0.3957462428067209,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_4039,"RBG_16_RIF_WS3X_71_46_curated, Latescibacteria, Bacteria",2560810.0,72.17,9.33,Uncurated genome,near complete,ck_bottom,-0.22556929037678008,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_38015,"Parcubacteria, Bacteria",732588.0,54.5,4.6,Uncurated genome,partial,ck_bottom,-0.9327480017409835,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_3782_sub,"Euryarchaeota, Archaea",1861547.0,44.78,19.75,Uncurated genome,partial,ck_bottom,0.524349186111098,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_3748,"Acidobacteria, Bacteria",4029497.0,61.5,18.68,Uncurated genome,near complete,ck_bottom,0.4686491275646638,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_3612,Archaea,1434490.0,60.21,16.03,Uncurated genome,near complete,ck_bottom,0.31565766138542894,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_3487,"Acidobacteria, Bacteria",5936338.0,61.67,12.82,Uncurated genome,near complete,ck_bottom,0.09220214625649126,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_3436,"Bacteroidia, Bacteroidetes, Bacteria",3572024.0,39.76,7.02,Uncurated genome,near complete,ck_bottom,-0.510041087198313,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_3311,"Acidobacteriales, Acidobacteriia, Acidobacteria, Bacteria",3681361.0,63.05,16.37,Uncurated genome,near complete,ck_bottom,0.33664608614701086,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_331,Bacteria,7921728.0,57.17,19.62,Uncurated genome,near complete,ck_bottom,0.5177451489011844,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_328,"Thaumarchaeota, TACK, Archaea",1784673.0,36.11,39.65,Uncurated genome,near complete,ck_bottom,1.2212866428448241,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_3229_sub,"Nitrospirae, Bacteria",2930381.0,56.81,9.13,Uncurated genome,near complete,ck_bottom,-0.24723861062915553,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_32,Archaea,875690.0,43.05,11.2,Uncurated genome,near complete,ck_bottom,-0.042890526934983964,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_3935,Bacteria,4740938.0,71.41,25.81,Uncurated genome,near complete,ck_bottom,0.7919577084944898,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_5003,"Acidobacteria, Bacteria",5690416.0,67.17,13.61,Uncurated genome,near complete,ck_bottom,0.15200051142734194,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_19,"Omnitrophica, Bacteria",1744299.0,50.38,12.48,Uncurated genome,near complete,ck_bottom,0.06532305770524882,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_1822,Bacteria,7213920.0,58.75,7.38,Uncurated genome,near complete,ck_bottom,-0.46003066662365155,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_1085_sub,"Euryarchaeota, Archaea",2438981.0,66.14,98.95,Uncurated genome,near complete,ck_bottom,2.1358103668125423,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_1079,"Nitrospirae, Bacteria",3651738.0,50.42,7.08,Uncurated genome,megabin,ck_bottom,-0.5015303975304042,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_1077,"Rhizobiales, Alphaproteobacteria, Proteobacteria, Bacteria",2978020.0,60.47,13.08,Uncurated genome,partial,ck_bottom,0.11228004079301979,Bacteria
SR-VP_05_06_2024_ck_bottom_Micrarchaeota_59_5,Archaea,993836.0,58.72,4.82,Uncurated genome,near complete,ck_bottom,-0.8860303771735236,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_10468,"Alphaproteobacteria, Proteobacteria, Bacteria",4311583.0,61.02,6.72,Uncurated genome,partial,ck_bottom,-0.5537161507009745,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_99_sub,"Gallionellales, Betaproteobacteria, Proteobacteria, Bacteria",2677871.0,59.36,9.71,Uncurated genome,near complete,ck_bottom,-0.18564802293279925,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_94,"Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria",2486025.0,64.4,10.34,Uncurated genome,near complete,ck_bottom,-0.12278443615574952,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_83,"Methanomicrobiales, Methanomicrobia, Euryarchaeota, Archaea",1244985.0,60.63,14.51,Uncurated genome,partial,ck_bottom,0.21603376166006383,Archaea
SR-VP_05_06_2024_ck_bottom_maxbin2_81,"Betaproteobacteria, Proteobacteria, Bacteria",3557715.0,67.46,12.55,Uncurated genome,near complete,ck_bottom,0.07091636034176041,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_80,"Acidobacteriales, Acidobacteriia, Acidobacteria, Bacteria",3706823.0,61.89,12.41,Uncurated genome,partial,ck_bottom,0.0596982939804831,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_79_sub,"Gallionellales, Betaproteobacteria, Proteobacteria, Bacteria",2457969.0,55.4,12.76,Uncurated genome,near complete,ck_bottom,0.08751097268061114,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_11,"Acidobacteriales, Acidobacteriia, Acidobacteria, Bacteria",4422580.0,60.31,74.33,Uncurated genome,near complete,ck_bottom,1.8497103335011698,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_68,"Chloroflexi, Bacteria",7043224.0,52.23,13.05,Uncurated genome,near complete,ck_bottom,0.10998382853266975,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_59_sub,"Aminicenantes, Bacteria",2347996.0,61.02,21.22,Uncurated genome,near complete,ck_bottom,0.5961398279498042,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_56,"Thaumarchaeota, TACK, Archaea",2121439.0,37.61,17.51,Uncurated genome,megabin,ck_bottom,0.403967841061728,Archaea
SR-VP_05_06_2024_ck_bottom_maxbin2_54,"Parcubacteria, Bacteria",762003.0,46.02,16.34,Uncurated genome,near complete,ck_bottom,0.334811784195824,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_53,"Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria",2839794.0,60.57,16.74,Uncurated genome,near complete,ck_bottom,0.35899675982529633,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_52_sub,"Acidobacteria, Bacteria",4766975.0,60.22,15.37,Uncurated genome,near complete,ck_bottom,0.27361325231447164,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_5,"Acidobacteria, Bacteria",6066833.0,58.8,81.14,Uncurated genome,near complete,ck_bottom,1.9373717525422682,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_49,"Parcubacteria, Bacteria",988181.0,54.8,16.45,Uncurated genome,near complete,ck_bottom,0.34152117197534837,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_48_sub,"Deltaproteobacteria, Proteobacteria, Bacteria",2496044.0,47.77,31.19,Uncurated genome,near complete,ck_bottom,0.9812932253836792,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_47,Bacteria,3456123.0,68.4,19.86,Uncurated genome,near complete,ck_bottom,0.5299033533809938,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_46_sub,"Deltaproteobacteria, Proteobacteria, Bacteria",4076658.0,48.23,29.07,Uncurated genome,near complete,ck_bottom,0.910902409334752,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_44,"Nitrospirae, Bacteria",4032454.0,50.14,20.94,Uncurated genome,near complete,ck_bottom,0.5828569002063584,Bacteria
SR-VP_05_06_2024_ck_bottom_maxbin2_6,"Phycisphaerae, Planctomycetes, Bacteria",7286372.0,61.18,73.45,Uncurated genome,near complete,ck_bottom,1.837800597383854,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_1824,Bacteria,3673033.0,56.8,6.5,Uncurated genome,near complete,ck_bottom,-0.5870021283344413,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_11227_sub,"Chloroflexi, Bacteria",6046280.0,54.23,7.12,Uncurated genome,near complete,ck_bottom,-0.4958965798121482,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_1136,"Acidobacteria, Bacteria",4133174.0,62.41,8.47,Uncurated genome,near complete,ck_bottom,-0.32227379657206967,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_1812,"Nitrospirae, Bacteria",3725646.0,54.93,18.69,Uncurated genome,near complete,ck_bottom,0.4691843162314391,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_17911,Archaea,613523.0,36.15,5.08,Uncurated genome,partial,ck_bottom,-0.833493043645642,Archaea
SR-VP_05_06_2024_ck_bottom_Micrarchaeota_56_5,Archaea,985195.0,55.81,4.93,Uncurated genome,near complete,ck_bottom,-0.8634653171814339,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_17380,"Chloroflexi, Bacteria",3907749.0,56.52,7.53,Uncurated genome,partial,ck_bottom,-0.43990926342423053,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_1715,Bacteria,4644898.0,47.3,5.87,Uncurated genome,megabin,ck_bottom,-0.6889496713960275,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_1640,"Caulobacterales, Alphaproteobacteria, Proteobacteria, Bacteria",3790300.0,70.21,10.14,Uncurated genome,partial,ck_bottom,-0.14231630707299558,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_157_sub,"Euryarchaeota, Archaea",1845869.0,55.67,20.62,Uncurated genome,near complete,ck_bottom,0.5674571733527811,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_1540_sub,Bacteria,3782963.0,54.76,6.16,Uncurated genome,near complete,ck_bottom,-0.6407275276906041,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_15069_sub,"Methanoregula, Methanomicrobiales, Methanomicrobia, Euryarchaeota, Archaea",2742736.0,48.65,21.24,Uncurated genome,near complete,ck_bottom,0.5970818911377052,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_1499_sub,"Chloroflexi, Bacteria",8848792.0,53.02,7.39,Uncurated genome,megabin,ck_bottom,-0.4586765702759221,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_139,Bacteria,5276946.0,55.47,48.85,Uncurated genome,near complete,ck_bottom,1.4299500732527592,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_1135,"Microgenomates, Bacteria",2986639.0,39.15,11.62,Uncurated genome,near complete,ck_bottom,-0.006076553812267349,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_1369,Bacteria,4372494.0,52.61,8.91,Uncurated genome,near complete,ck_bottom,-0.27163006375331467,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_136,"Bradyrhizobium, Rhizobiales, Alphaproteobacteria, Proteobacteria, Bacteria",5718096.0,63.31,26.59,Uncurated genome,near complete,ck_bottom,0.8217309000188959,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_13432_sub,"Alphaproteobacteria, Proteobacteria, Bacteria",5102290.0,58.81,6.38,Uncurated genome,partial,ck_bottom,-0.6056362078793343,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_1332,Archaea,2837758.0,50.81,20.33,Uncurated genome,near complete,ck_bottom,0.5532933224042225,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_13015_sub,Bacteria,6913848.0,60.9,6.99,Uncurated genome,partial,ck_bottom,-0.5143237489903136,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_12990,"Chlamydiia, Chlamydiae, Bacteria",1770725.0,49.81,5.37,Uncurated genome,partial,ck_bottom,-0.7779763967152593,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_1271_sub,"Gemmatimonadetes, Bacteria",3376959.0,72.54,30.64,Uncurated genome,near complete,ck_bottom,0.9635020396363578,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_12542_sub,Bacteria,6936298.0,52.58,4.72,Uncurated genome,partial,ck_bottom,-0.9069955056385688,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_124,Bacteria,3507989.0,59.96,13.64,Uncurated genome,near complete,ck_bottom,0.15420234717928327,Bacteria
SR-VP_05_06_2024_ck_bottom_Pacearchaeota_36_6,Archaea,462326.0,36.25,5.82,Uncurated genome,partial,ck_bottom,-0.6975040434926862,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_12013_sub,"Candidatus Solibacter usitatus, Candidatus Solibacter, Solibacterales, Solibacteres, Acidobacteria, Bacteria",4500142.0,64.08,4.92,Uncurated genome,partial,ck_bottom,-0.8654957747318159,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_1157,Bacteria,3151352.0,38.0,10.27,Uncurated genome,near complete,ck_bottom,-0.12957728129556578,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_13657,"Parcubacteria, Bacteria",737288.0,40.76,4.48,Uncurated genome,partial,ck_bottom,-0.9591812588091388,Bacteria
SR-VP_05_06_2024_ck_bottom_Methanoperedens_44_24,"Black_host_Methanoperedens_contigs_Illumina_by_Np_final, Euryarchaeota, Archaea",1984192.0,44.06,23.86,Uncurated genome,near complete,ck_bottom,0.7133991114337372,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_5277_sub,Archaea,2901160.0,47.29,6.56,Uncurated genome,near complete,ck_bottom,-0.5778137022800351,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_5816_sub,"Euryarchaeota, Archaea",1427521.0,44.68,15.48,Uncurated genome,partial,ck_bottom,0.2807445629255483,Archaea
SR-VP_05_06_2024_ck_bottom_Vermilion_Borg_29_1,"Green_Borg_SRVP_2020_100_cm_2_FINAL-FINAL, Green, Borg, ECE",1062.0,29.0,1.41,Uncurated genome,partial,ck_bottom,-2.115214600845956,Borg
SR-VP_05_06_2024_ck_bottom_Purple_Borg_36_2,"PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete, Purple, Borg, ECE",3649.0,35.54,2.4,Uncurated genome,partial,ck_bottom,-1.5833355678821328,Borg
SR-VP_05_06_2024_ck_bottom_Pink_Borg_32_15,"Borg, ECE",916200.0,31.97,15.57,Uncurated genome,partial,ck_bottom,0.2865416806098744,Borg
SR-VP_05_06_2024_ck_bottom_Oxblood_Borg_34_3,"Borg, ECE",68864.0,33.76,2.7,Uncurated genome,partial,ck_bottom,-1.4655525322257492,Borg
SR-VP_05_06_2024_ck_bottom_Black_Borg_32_185,"BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR, Black, Borg, ECE",900153.0,32.21,185.39,Uncurated genome,partial,ck_bottom,2.7636574090084682,Borg
SR-VP_05_06_2024_ck_bottom_Jupiter_mini-Borg_35_4,"Borg, ECE",20067.0,35.35,4.17,Uncurated genome,partial,ck_bottom,-1.0308882694253225,Borg
SR-VP_05_06_2024_ck_bottom_Jupiter_mini-Borg_37_5,"Borg, ECE",7769.0,36.71,3.25,Uncurated genome,partial,ck_bottom,-1.2801493088943865,Borg
SR-VP_05_06_2024_ck_bottom_vamb_9896_sub,Archaea,1492354.0,48.2,10.37,Uncurated genome,partial,ck_bottom,-0.11988728299459694,Archaea
SR-VP_05_06_2024_ck_bottom_vamb_9775,"Nitrospirae, Bacteria",1801712.0,53.14,13.87,Uncurated genome,near complete,ck_bottom,0.17092392909070764,Bacteria
SR-VP_05_06_2024_ck_bottom_vamb_9587,"Chloroflexi, Bacteria",7449214.0,52.86,23.38,Uncurated genome,near complete,ck_bottom,0.6930766508078898,Bacteria
SR-VP_05_06_2024_ck_bottom_vamb_9165,"Gemmatimonadetes, Bacteria",3989599.0,67.22,9.05,Uncurated genome,near complete,ck_bottom,-0.2560395475241979,Bacteria
SR-VP_05_06_2024_ck_bottom_vamb_9021_sub,"Euryarchaeota, Archaea",2396646.0,66.44,43.69,Uncurated genome,near complete,ck_bottom,1.3183149377273118,Archaea
SR-VP_05_06_2024_ck_bottom_vamb_8728,Bacteria,6638280.0,65.12,24.87,Uncurated genome,near complete,ck_bottom,0.7548579525792807,Bacteria
SR-VP_05_06_2024_ck_bottom_vamb_8610,"Chlamydiia, Chlamydiae, Bacteria",2287444.0,44.05,8.09,Uncurated genome,near complete,ck_bottom,-0.3681755741656323,Bacteria
SR-VP_05_06_2024_ck_bottom_Jupiter_mini-Borg_34_3,"Borg, ECE",15807.0,33.78,3.18,Uncurated genome,partial,ck_bottom,-1.301923108443947,Borg
SR-VP_05_06_2024_ck_bottom_vamb_8539,"Gemmatimonadetes, Bacteria",4341163.0,71.01,25.38,Uncurated genome,near complete,ck_bottom,0.7751571570502089,Bacteria
SR-VP_05_06_2024_ck_bottom_scaffold_14226,ece_26_1334,,,607.23,,,ck_bottom,3.950103326739521,ece_26_1334
SR-VP_05_06_2024_ck_bottom_Blue-Borg_related_36_5,"SR-VP_9_9_2021_65_4B_1_25m_Amethyst_Borg_complete, Amethyst, Borg, ECE",10367.0,35.56,5.02,Uncurated genome,partial,ck_bottom,-0.8453743715323949,Borg
SR-VP_05_06_2024_ck_bottom_HMp_plasmid-like_40_4,"Euryarchaeota, Archaea",114198.0,40.26,4.41,Uncurated genome,partial,ck_bottom,-0.974929615777278,Archaea
SR-VP_05_06_2024_ck_bottom_HMp_plasmid-like_39_7,"Euryarchaeota, Archaea",184715.0,38.55,7.16,Uncurated genome,partial,ck_bottom,-0.4902943242634783,Archaea
SR-VP_05_06_2024_ck_bottom_Candidate_Blue_Borg_34_5,"Borg, ECE",997251.0,33.53,5.49,Uncurated genome,partial,ck_bottom,-0.7558760497145933,Borg
SR-VP_05_06_2024_ck_bottom_Blue_Borg_36_5,"SR-VP_9_9_2021_65_4B_1_25m_Amethyst_Borg_complete, Amethyst, Borg, ECE",84515.0,32.4,5.64,Uncurated genome,partial,ck_bottom,-0.7289202397260652,Borg
SR-VP_05_06_2024_ck_bottom_likely_Blue_Borg_32_5,"SR-VP_9_9_2021_65_4B_1_25m_Amethyst_Borg_complete, Amethyst, Borg, ECE",9182.0,32.14,5.45,Uncurated genome,partial,ck_bottom,-0.7631886965608798,Borg
SR-VP_05_06_2024_ck_bottom_Borg_fragments,"Borg, ECE",821975.0,33.09,4.4,Uncurated genome,partial,ck_bottom,-0.9771997643118171,Borg
SR-VP_05_06_2024_ck_bottom_Methanoperedens_41_16,"Euryarchaeota, Archaea",546039.0,40.75,16.95,Uncurated genome,partial,ck_bottom,0.3714635285904264,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_575,"Deltaproteobacteria, Proteobacteria, Bacteria",2786632.0,53.56,9.06,Uncurated genome,near complete,ck_bottom,-0.2549351851811448,Bacteria
SR-VP_05_06_2024_ck_bottom_vamb_8384_sub,"Acidobacteria, Bacteria",3528793.0,57.82,16.18,Uncurated genome,near complete,ck_bottom,0.3249716063943131,Bacteria
SR-VP_05_06_2024_ck_bottom_vamb_8205_sub,"Euryarchaeota, Archaea",3823750.0,41.09,15.12,Uncurated genome,megabin,ck_bottom,0.2572140655153543,Archaea
SR-VP_05_06_2024_ck_bottom_vamb_11746_sub,"Bathyarchaeota, Archaea",2193252.0,47.13,8.38,Uncurated genome,megabin,ck_bottom,-0.33295639074204075,Archaea
SR-VP_05_06_2024_ck_bottom_vamb_11255_sub,"Gemmatimonadetes, Bacteria",3851062.0,70.36,284.03,Uncurated genome,near complete,ck_bottom,3.190275561149133,Bacteria
SR-VP_05_06_2024_ck_bottom_vamb_10853,"Acidobacteria, Bacteria",4532384.0,59.86,9.86,Uncurated genome,partial,ck_bottom,-0.17031813662148876,Bacteria
SR-VP_05_06_2024_ck_bottom_vamb_10213,"Deltaproteobacteria, Proteobacteria, Bacteria",4913249.0,54.47,5.78,Uncurated genome,megabin,ck_bottom,-0.7044006225517465,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_9483_sub,"Deltaproteobacteria, Proteobacteria, Bacteria",7223541.0,54.25,5.25,Uncurated genome,partial,ck_bottom,-0.8005762286325002,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_9295_sub,Archaea,2106228.0,50.47,11.86,Uncurated genome,near complete,ck_bottom,0.014367088333546718,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_910,Bacteria,3505661.0,59.12,7.16,Uncurated genome,partial,ck_bottom,-0.4902943242634783,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_9061_sub,"Betaproteobacteria, Proteobacteria, Bacteria",2675837.0,67.34,6.64,Uncurated genome,partial,ck_bottom,-0.5656923417476902,Bacteria
