Archaeal SCG	contig	features	num features	organism	coverage	GC %	winner	winner phylum
Ribosomal protein L13	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1466	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosomal protein L18e	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1465	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosomal protein L21e	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1767	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosomal protein L3	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_227	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosomal protein L7Ae/L8e	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1064	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosomal protein S13	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1334	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosomal protein S15	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1475	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosomal protein S19e	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1849	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosomal protein S2	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1471	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosomal protein S28e	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1065	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosomal protein S3Ae	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_616	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosomal protein S6e	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1362	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosomal protein S7	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1502	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosomal protein S9	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1468	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosome maturation protein SDO1 homolog	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1889	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Signal recognition particle 54 kDa protein	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1660	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Transcription elongation factor Spt5	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1109	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Translation initiation factor 5A	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_862	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Translation initiation factor IF-2 subunit gamma	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_223	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Valyl-tRNA synthetase	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_2103	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
tRNA N6-adenosine threonylcarbamoyltransferase	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_2238, FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_2239	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
