,uniparc_id,original_id,uniparc_version,description,pdb_chain,pdb_id,gmgc_id,mgnify_id,pdb_assembly,database
23,M4JFA3,M4JFA3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
24,A0A7S7YEC9,A0A7S7YEC9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
25,A0A5K0U9M5,A0A5K0U9M5_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
26,H9YAG8,H9YAG8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
27,A0A811AAF7,A0A811AAF7_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
28,UPI001F13DEE1,UPI001F13DEE1_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
29,Q8SDJ0,Q8SDJ0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
30,A0A3G5AB64,A0A3G5AB64_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
31,A0A5E3ZZS4,A0A5E3ZZS4_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,,,,,,,,UniParc
32,A0A3G5A5Q1,A0A3G5A5Q1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
33,A0A5K0UBA4,A0A5K0UBA4_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
34,A0A5K0UA27,A0A5K0UA27_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
35,A0A481YTX6,A0A481YTX6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
36,A0A3T1CX70,A0A3T1CX70_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
37,A0A0A0RRZ4,A0A0A0RRZ4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
38,A0A8D9FR30,A0A8D9FR30_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
39,A0A6G5YM72,A0A6G5YM72_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
40,A0A2Z5HGI7,A0A2Z5HGI7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
41,A0A290G8Q7,A0A290G8Q7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
42,A0A1B1IQF4,A0A1B1IQF4_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
43,A0A0B5JA18,A0A0B5JA18_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
44,A0A2U7UG44,A0A2U7UG44_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
45,A0A1V0SHU6,A0A1V0SHU6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
46,A0A8D9PDX8,A0A8D9PDX8_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
47,H2EES7,H2EES7_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,,,,,,,,UniParc
48,A0A1B4XWN5,A0A1B4XWN5_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
49,A0A516LCN3,A0A516LCN3_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
50,A0A385A1D2,A0A385A1D2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
51,A0A6J7XAK5,A0A6J7XAK5_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
52,B4YNE3,B4YNE3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
53,Q5UNS7,Q5UNS7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
54,A0A0U4KIM4,A0A0U4KIM4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
55,A0A1B1ISK2,A0A1B1ISK2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
56,A0A1V0SHE2,A0A1V0SHE2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
57,A0A8S5VQK6,A0A8S5VQK6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
58,A0A1L2CVN9,A0A1L2CVN9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
59,A0A481YWC4,A0A481YWC4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
60,A0A3G4ZLA5,A0A3G4ZLA5_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
61,B2YG10,B2YG10_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
62,A0A076FGH3,A0A076FGH3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
63,A0A7S7YFW2,A0A7S7YFW2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
64,A0A3G5A9Z5,A0A3G5A9Z5_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
65,A0A5K0UC64,A0A5K0UC64_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
66,A0A1V0SAY8,A0A1V0SAY8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
67,A0A8S5RTS5,A0A8S5RTS5_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
68,A0A6J5NJW3,A0A6J5NJW3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
69,A0A0Y0JE35,A0A0Y0JE35_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
70,A0A1W6DWY1,A0A1W6DWY1_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
71,A0A3G5AJR4,A0A3G5AJR4_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
72,A0A1V0SHH1,A0A1V0SHH1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
73,A0A8S5TK74,A0A8S5TK74_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
74,A0A2L1GHX7,A0A2L1GHX7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
75,A0A0X8WPA9,A0A0X8WPA9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
76,Q8QKY2,Q8QKY2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
77,A0A7S5UXD9,A0A7S5UXD9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
78,A0A288WIG1,A0A288WIG1_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
79,W6JL06,W6JL06_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
80,A0A0U4AY09,A0A0U4AY09_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
81,A0A3G5AJF5,A0A3G5AJF5_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
82,A0A3G4ZYG4,A0A3G4ZYG4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
83,A0A516LBB7,A0A516LBB7_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,,,,,,,,UniParc
84,A0A8S5M780,A0A8S5M780_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
85,A0A8A6C7F7,A0A8A6C7F7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
86,A0A8S5VTU3,A0A8S5VTU3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
87,A0A0B5H8W9,A0A0B5H8W9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
88,A0A649WKG0,A0A649WKG0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
89,A0A2I7QXY5,A0A2I7QXY5_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
90,G8DGU3,G8DGU3_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
91,A0A481YPN4,A0A481YPN4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
92,W6AUX0,W6AUX0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
93,A0A0Y0KFY7,A0A0Y0KFY7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
94,A0A6J5L3Q2,A0A6J5L3Q2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
95,A0A223W053,A0A223W053_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
96,A0A1V0SFW5,A0A1V0SFW5_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
97,A0A3Q9R983,A0A3Q9R983_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
98,A0A481Z0A9,A0A481Z0A9_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
99,S4VZA3,S4VZA3_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
100,A0A2P1CAD1,A0A2P1CAD1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
101,A0A8S5RV27,A0A8S5RV27_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,,,,,,,,UniParc
102,A0A3G5A0W0,A0A3G5A0W0_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
103,A5A3V1,A5A3V1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
104,A0A7M1RUN7,A0A7M1RUN7_4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,4,,,,,,,UniParc
105,A0A6J5MMT5,A0A6J5MMT5_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
106,A0A6J5T4Z0,A0A6J5T4Z0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
107,F2Y2Y6,F2Y2Y6_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
108,A0A2I6J1B6,A0A2I6J1B6_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,,,,,,,,UniParc
109,A0A8S5MJ87,A0A8S5MJ87_1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1,,,,,,,UniParc
110,A0A1U9WR92,A0A1U9WR92_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
111,A0A3Q8CJP5,A0A3Q8CJP5_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
112,A0A3G4ZQ19,A0A3G4ZQ19_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
113,A0A6N1NG56,A0A6N1NG56_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
114,H2EEA1,H2EEA1_2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,2,,,,,,,UniParc
115,A0A2L2DN66,A0A2L2DN66_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
116,A0A811AAK2,A0A811AAK2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
117,A0A8S5QRJ1,A0A8S5QRJ1_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
118,A0A8S5QGP3,A0A8S5QGP3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
119,A0A3G5AIY5,A0A3G5AIY5_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
120,A0A6J5RBK6,A0A6J5RBK6_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,,,,,,,,UniParc
121,A0A481YYN0,A0A481YYN0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
122,A0A3G4ZSD8,A0A3G4ZSD8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
123,A0A142CKK0,A0A142CKK0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
124,A0A8S5V1I5,A0A8S5V1I5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
125,A0A4Y5FG94,A0A4Y5FG94_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
126,A0A384UH08,A0A384UH08_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
127,A0A346G437,A0A346G437_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,,,,,,,,UniParc
128,A0A4D6BIG3,A0A4D6BIG3_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
129,A0A889IQ98,A0A889IQ98_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
130,A0A6G6XQP8,A0A6G6XQP8_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
131,A0A345MZL5,A0A345MZL5_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
132,A0A2U7UBW4,A0A2U7UBW4_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
133,A0A1V0SB36,A0A1V0SB36_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
134,B3GAN5,B3GAN5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
135,A0A6J5NPZ9,A0A6J5NPZ9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
136,A0A0A8J958,A0A0A8J958_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
137,A0A8U0LTR8,A0A8U0LTR8_3_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,3,,,,,,,UniParc
138,A0A223VZP4,A0A223VZP4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
139,E3T5N2,E3T5N2_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
140,A0A1L7N125,A0A1L7N125_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
141,A0A6J5KVP6,A0A6J5KVP6_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
142,A0A6J5LBJ7,A0A6J5LBJ7_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
143,A0A6H1Z6D6,A0A6H1Z6D6_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
144,B5LWJ4,B5LWJ4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
145,A0A481YSR0,A0A481YSR0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
146,Q06VJ9,Q06VJ9_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
147,A0A2I7REQ1,A0A2I7REQ1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
148,A0A6G6AHN1,A0A6G6AHN1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
149,C9DG49,C9DG49_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
150,A0A8S5RV14,A0A8S5RV14_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
151,A0A0P0ZEA5,A0A0P0ZEA5_2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,2,,,,,,,UniParc
152,A0A516L927,A0A516L927_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
153,A0A8S5T9R4,A0A8S5T9R4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
154,A0A1V0SFD3,A0A1V0SFD3_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
155,A0A5K0U959,A0A5K0U959_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
156,A0A2H4PAW4,A0A2H4PAW4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
157,M1PXF0,M1PXF0_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
158,A0A3G4ZUD6,A0A3G4ZUD6_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
159,A0A060AI15,A0A060AI15_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
160,A0A1S5R3R8,A0A1S5R3R8_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
161,A0A1B1IPY4,A0A1B1IPY4_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
162,A0A2I7S9J6,A0A2I7S9J6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
163,V5LQM2,V5LQM2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
164,P42538,P42538_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
165,A0A8F8PMY0,A0A8F8PMY0_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
166,A0A5J6VJZ9,A0A5J6VJZ9_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,,,,,,,,UniParc
167,Q5ULN8,Q5ULN8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
168,A0A8F8KRE4,A0A8F8KRE4_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
169,H6WBE3,H6WBE3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
170,A0A8S5UZX7,A0A8S5UZX7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
171,A0A0N9Q195,A0A0N9Q195_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
172,A0A6M3YNQ3,A0A6M3YNQ3_1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1,,,,,,,UniParc
173,A0A516L0S9,A0A516L0S9_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
174,A0A6J7WVW6,A0A6J7WVW6_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
175,A0A6J5L7C7,A0A6J5L7C7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
176,A0A0F7LU26,A0A0F7LU26_1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1,,,,,,,UniParc
177,A0A8S5PS13,A0A8S5PS13_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
178,A0A8S5SWP9,A0A8S5SWP9_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
179,A0A5K0UAY6,A0A5K0UAY6_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
180,A0A3G4ZP99,A0A3G4ZP99_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
181,UPI00052E4955,UPI00052E4955_2_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,2,,,,,,,UniParc
182,A0A5B8GRT1,A0A5B8GRT1_2_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,2,,,,,,,UniParc
183,A0A8F8KL13,A0A8F8KL13_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
184,A0A6J7WT06,A0A6J7WT06_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,,,,,,,,UniParc
185,A0A3S7URU3,A0A3S7URU3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
186,A0A6M9Z615,A0A6M9Z615_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
187,A0A6G5YFB9,A0A6G5YFB9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
188,A0A8S5VVR1,A0A8S5VVR1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
189,H2EG24,H2EG24_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
190,A0A481YPB3,A0A481YPB3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
191,A0A3G8EX11,A0A3G8EX11_2_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,2,,,,,,,UniParc
192,F2Y204,F2Y204_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
193,Q88961,Q88961_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,,,,,,,,UniParc
194,A0A8S5MDY9,A0A8S5MDY9_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,,,,,,,,UniParc
195,A0A8S5PXJ1,A0A8S5PXJ1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
196,A0A7R7G155,A0A7R7G155_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
197,A0A0K1LLI3,A0A0K1LLI3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
198,A0A481YRQ1,A0A481YRQ1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
199,A0A8S5VGG4,A0A8S5VGG4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
200,A0A8S5QGH0,A0A8S5QGH0_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
201,A0A481YRI3,A0A481YRI3_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
202,A0A076KXD4,A0A076KXD4_2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,2,,,,,,,UniParc
203,A0A7G8JUR7,A0A7G8JUR7_1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1,,,,,,,UniParc
204,A0A6N1NYN3,A0A6N1NYN3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
205,A0A0B5IZJ3,A0A0B5IZJ3_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
206,A0A1B1SE04,A0A1B1SE04_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
207,Q3V4R0,Q3V4R0_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,,,,,,,,UniParc
208,A0A0F7L5W0,A0A0F7L5W0_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
209,A0A068CB37,A0A068CB37_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
210,A0A6B9SV55,A0A6B9SV55_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
211,A0A7G4AWQ6,A0A7G4AWQ6_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
212,A0A191SAR5,A0A191SAR5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
