,host_genome_id,symbiont_genome_id,host_relative_abundance,symbiont_relative_abundance,location,pair_id
13,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_top.metabat2.526,0.4010896,0.06694073,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_top.metabat2.526
14,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_top.metabat2.60,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_top.metabat2.60
15,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_top.metabat2.66,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_top.metabat2.66
16,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_top.metabat2.808,0.4010896,0.071324684,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_top.metabat2.808
17,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_top.vamb.31579,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_top.vamb.31579
18,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_top.vamb.67301,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_top.vamb.67301
19,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_top.vamb.78830,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_top.vamb.78830
20,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_ck_bottom.maxbin2.19_sub,0.4010896,0.12550257,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_ck_bottom.maxbin2.19_sub
21,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_ck_bottom.metabat2.10564,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_ck_bottom.metabat2.10564
22,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_ck_bottom.metabat2.12185,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_ck_bottom.metabat2.12185
23,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_ck_bottom.metabat2.17799,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_ck_bottom.metabat2.17799
24,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_ck_bottom.metabat2.17911,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_ck_bottom.metabat2.17911
25,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_ck_bottom.metabat2.230,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_ck_bottom.metabat2.230
26,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_ck_bottom.metabat2.3173,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_ck_bottom.metabat2.3173
27,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_ck_bottom.metabat2.32,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_ck_bottom.metabat2.32
28,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_ck_bottom.metabat2.9446,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_ck_bottom.metabat2.9446
29,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_ck_bottom.vamb.32333,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_ck_bottom.vamb.32333
30,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_bottom.maxbin2.141_sub,0.0324233,0.040744293,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_bottom.maxbin2.141_sub
31,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_bottom.metabat2.223,0.0324233,0.20488283,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_bottom.metabat2.223
32,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_bottom.metabat2.2860,0.0324233,0.08085966,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_bottom.metabat2.2860
33,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_bottom.metabat2.4173,0.0324233,0.070852876,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_bottom.metabat2.4173
34,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_middle.concoct.40,0.0324233,0.033503402,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_middle.concoct.40
35,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_middle.maxbin2.253,0.0324233,0.022443326,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_middle.maxbin2.253
36,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_middle.metabat2.66,0.0324233,0.07021285,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_middle.metabat2.66
37,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_middle.vamb.23306,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_middle.vamb.23306
38,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_top.concoct.268_sub,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_top.concoct.268_sub
39,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_top.metabat2.22730,0.0324233,0.01269778,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_top.metabat2.22730
40,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_top.metabat2.38630,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_top.metabat2.38630
41,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_top.metabat2.43498,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_top.metabat2.43498
42,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_top.metabat2.526,0.0324233,0.06694073,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_top.metabat2.526
43,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_top.metabat2.60,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_top.metabat2.60
44,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_top.metabat2.66,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_top.metabat2.66
45,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_top.metabat2.808,0.0324233,0.071324684,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_top.metabat2.808
46,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_top.vamb.31579,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_top.vamb.31579
47,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_top.vamb.67301,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_top.vamb.67301
48,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_N_top.vamb.78830,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_N_top.vamb.78830
49,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_ck_bottom.maxbin2.19_sub,0.0324233,0.12550257,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_ck_bottom.maxbin2.19_sub
50,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_ck_bottom.metabat2.10564,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_ck_bottom.metabat2.10564
51,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_ck_bottom.metabat2.12185,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_ck_bottom.metabat2.12185
52,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_ck_bottom.metabat2.17799,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_ck_bottom.metabat2.17799
53,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_ck_bottom.metabat2.17911,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_ck_bottom.metabat2.17911
54,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_ck_bottom.metabat2.230,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_ck_bottom.metabat2.230
55,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_ck_bottom.metabat2.3173,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_ck_bottom.metabat2.3173
56,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_ck_bottom.metabat2.32,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_ck_bottom.metabat2.32
57,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_ck_bottom.metabat2.9446,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_ck_bottom.metabat2.9446
58,SR-VP_05_06_2024_N_middle.metabat2.10552,SR-VP_05_06_2024_ck_bottom.vamb.32333,0.0324233,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10552:SR-VP_05_06_2024_ck_bottom.vamb.32333
59,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_bottom.metabat2.223,0.04901611,0.20488283,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_bottom.metabat2.223
60,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_bottom.metabat2.2860,0.04901611,0.08085966,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_bottom.metabat2.2860
61,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_bottom.metabat2.4173,0.04901611,0.070852876,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_bottom.metabat2.4173
62,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_middle.concoct.40,0.04901611,0.033503402,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_middle.concoct.40
63,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_middle.maxbin2.253,0.04901611,0.022443326,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_middle.maxbin2.253
64,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_middle.metabat2.66,0.04901611,0.07021285,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_middle.metabat2.66
65,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_middle.vamb.23306,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_middle.vamb.23306
66,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_top.concoct.268_sub,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_top.concoct.268_sub
67,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_top.metabat2.22730,0.04901611,0.01269778,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_top.metabat2.22730
68,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_top.metabat2.38630,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_top.metabat2.38630
69,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_top.metabat2.43498,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_top.metabat2.43498
70,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_top.metabat2.526,0.04901611,0.06694073,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_top.metabat2.526
71,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_top.metabat2.60,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_top.metabat2.60
72,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_top.metabat2.66,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_top.metabat2.66
73,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_top.metabat2.808,0.04901611,0.071324684,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_top.metabat2.808
74,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_top.vamb.31579,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_top.vamb.31579
75,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_top.vamb.67301,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_top.vamb.67301
76,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_N_top.vamb.78830,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_N_top.vamb.78830
77,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_ck_bottom.maxbin2.19_sub,0.04901611,0.12550257,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_ck_bottom.maxbin2.19_sub
78,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_ck_bottom.metabat2.10564,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_ck_bottom.metabat2.10564
79,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_ck_bottom.metabat2.12185,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_ck_bottom.metabat2.12185
80,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_ck_bottom.metabat2.17799,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_ck_bottom.metabat2.17799
81,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_ck_bottom.metabat2.17911,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_ck_bottom.metabat2.17911
82,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_ck_bottom.metabat2.230,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_ck_bottom.metabat2.230
83,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_ck_bottom.metabat2.3173,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_ck_bottom.metabat2.3173
84,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_ck_bottom.metabat2.32,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_ck_bottom.metabat2.32
85,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_ck_bottom.metabat2.9446,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_ck_bottom.metabat2.9446
86,SR-VP_05_06_2024_N_middle.metabat2.10857,SR-VP_05_06_2024_ck_bottom.vamb.32333,0.04901611,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.10857:SR-VP_05_06_2024_ck_bottom.vamb.32333
87,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_bottom.metabat2.2860,0.025429422,0.08085966,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_bottom.metabat2.2860
88,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_bottom.metabat2.4173,0.025429422,0.070852876,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_bottom.metabat2.4173
89,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_middle.concoct.40,0.025429422,0.033503402,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_middle.concoct.40
90,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_middle.maxbin2.253,0.025429422,0.022443326,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_middle.maxbin2.253
91,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_middle.metabat2.66,0.025429422,0.07021285,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_middle.metabat2.66
92,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_middle.vamb.23306,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_middle.vamb.23306
93,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_top.concoct.268_sub,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_top.concoct.268_sub
94,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_top.metabat2.22730,0.025429422,0.01269778,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_top.metabat2.22730
95,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_top.metabat2.38630,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_top.metabat2.38630
96,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_top.metabat2.43498,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_top.metabat2.43498
97,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_top.metabat2.526,0.025429422,0.06694073,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_top.metabat2.526
98,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_top.metabat2.60,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_top.metabat2.60
99,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_top.metabat2.66,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_top.metabat2.66
100,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_top.metabat2.808,0.025429422,0.071324684,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_top.metabat2.808
101,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_top.vamb.31579,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_top.vamb.31579
102,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_top.vamb.67301,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_top.vamb.67301
103,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_N_top.vamb.78830,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_N_top.vamb.78830
104,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_ck_bottom.maxbin2.19_sub,0.025429422,0.12550257,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_ck_bottom.maxbin2.19_sub
105,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_ck_bottom.metabat2.10564,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_ck_bottom.metabat2.10564
106,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_ck_bottom.metabat2.12185,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_ck_bottom.metabat2.12185
107,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_ck_bottom.metabat2.17799,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_ck_bottom.metabat2.17799
108,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_ck_bottom.metabat2.17911,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_ck_bottom.metabat2.17911
109,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_ck_bottom.metabat2.230,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_ck_bottom.metabat2.230
110,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_ck_bottom.metabat2.3173,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_ck_bottom.metabat2.3173
111,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_ck_bottom.metabat2.32,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_ck_bottom.metabat2.32
112,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_ck_bottom.metabat2.9446,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_ck_bottom.metabat2.9446
113,SR-VP_05_06_2024_N_middle.metabat2.13316,SR-VP_05_06_2024_ck_bottom.vamb.32333,0.025429422,0.0,bottom,SR-VP_05_06_2024_N_middle.metabat2.13316:SR-VP_05_06_2024_ck_bottom.vamb.32333
