Ribosomal Proteins	contig	features	num features	organism	coverage	GC %	winner	winner phylum
ribosomal protein L5	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_240	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein L6	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_243	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S10	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1121	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S11	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1332	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S12	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1503	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S13	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1334	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S14	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_241	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S15	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1475	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S17	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_236	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S19	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_231, FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1849	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S2	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1471	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S3	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_233, FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_616	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S4	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1333	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S5	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_247	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S7	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1502	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S8	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1568, FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_242	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein S9	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1468	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
